Name,Published Year,Genre,Author
LIFE & LETTERS OF OLIVER WENDE,2016-08-27,History,John Torrey 1840-1937 Morse| Oliver Wendell 1809-1894 Holmes
Dr. Holmes's Boston,2008-02,Fiction,Oliver Wendell Holmes
The Writings of Oliver Wendell Holmes, Volume 12,2016-05-19,N/A,Oliver Wendell Holmes
Mismatch,2018-10-16,Technology & Engineering,Kat Holmes
The Writings of Oliver Wendell Holmes, Volume 9,2015-12-08,N/A,Oliver Wendell Holmes
The poetical works of Oliver Wendell Holmes. 1893,1891,Authors, American,Oliver Wendell Holmes
The Writings of Oliver Wendell Holmes: The autocrat of the breakfast table,1891,N/A,Oliver Wendell Holmes
The Complete Writings of Oliver Wendell Holmes: One hundred days in Europe,1892,N/A,Oliver Wendell Holmes
The Original Sherlock Holmes,2015-06-23,Fiction,Arthur. Conan Doyle
The Return of Sherlock Holmes,1993,Detective and mystery stories,Arthur Conan Doyle
Mastermind,2013-01-03,Psychology,Maria Konnikova
The Writings of Oliver Wendell Holmes, Volume 13,2016-05-18,N/A,Oliver Wendell Holmes
Sherlock Holmes Case-Book of Curious Puzzles,2021-03-15,N/A,Gareth Moore
Sherlock Holmes: The Outstanding Mysteries,2014-09-25,Fiction,Gerard Kelly
Sherlock Holmes's School for Detection,2017-04-06,Fiction,Simon Clark
Sherlock Holmes on the Stage,2008-06-10,Performing Arts,Amnon Kabatchnik
The London of Sherlock Holmes,1972,Literary Criticism,Michael Harrison
The Writings of Oliver Wendell Holmes, Volume 5,2016-05-22,N/A,Oliver Wendell Holmes
The MX Book of New Sherlock Holmes Stories - Part IX,2018-04-17,Fiction,David Marcum
The MX Book of New Sherlock Holmes Stories Part I,2017-03-21,Fiction,David Marcum
The Best Sherlock Holmes Short Stories,N/A,Fiction,Doyle А.С.
A Few Lessons from Sherlock Holmes,2013-08-12,Fiction,Peter Bevelin
Bulletin - Holmes Safety Association,1983,N/A,Holmes Safety Association
Sherlock Holmes and the Case of the Perplexed Politician,2020-04-02,Fiction,Margaret Walsh
The Hound of the Baskervilles(Sherlock Holmes #3) Illustrated,2021-07-18,N/A,Arthur Doyle
Sherlock Holmes and the Cornwall Affair,2020-06-15,Fiction,Johanna Rieke
The MX Book of New Sherlock Holmes Stories - Part XVI,2019-11-25,Fiction,David Marcum
The Case-Book of Sherlock Holmes (Illustrated),2023-01-01,Fiction,Arthur Conan Doyle
... The Works of Oliver Wendell Holmes ...: A moral antipathy,1892,N/A,Oliver Wendell Holmes
The New Annotated Sherlock Holmes: The Complete Short Stories: The Adventures of Sherlock Holmes and The Memoirs of Sherlock Holmes (Non-Slipcased Edition) (Vol. 1) (The Annotated Books),2005,Fiction,Arthur Conan Doyle
Superior National Forest (N.F.), Holmes/Chipmunk Timber Sale,2003,N/A,N/A
The Secret Notebooks of Sherlock Holmes,2012-07-30,Fiction,June Thomson
COLLECTOR'S EDITION – COMPLETE RAFFLES SERIES & SHERLOCK HOLMES ADVENTURES,2023-12-09,Fiction,Arthur Conan Doyle| John Kendrick Bangs| E. W. Hornung
Sherlock Holmes and the Case of the Bulgarian Codex,2012-10-16,Fiction,Tim Symonds
The London of Sherlock Holmes,1972,Literary Criticism,Michael Harrison
Oliver Wendell Holmes,1893,Authors, American,Walter Jerrold
May We Show You?,1910,Beds,Holmes Disappearing Bed Co. (Los Angeles, Calif.)
The Works of Oliver Wendell Holmes ...,1892,N/A,Oliver Wendell Holmes
A Study in Scarlet: Sherlock Holmes,2010-01-15,N/A,Arthur Conan Doyle| Sherlock Holmes
The Poetical Works of Oliver Wendell Holmes,1893,N/A,Oliver Wendell Holmes
Poems of Oliver Wendell Holmes,1880,N/A,Oliver Wendell Holmes
The Writings of Oliver Wendell Holmes,1891,N/A,Oliver Wendell Holmes
The Writings of Oliver Wendell Holmes: Our hundred days in Europe. 1895,1895,N/A,Oliver Wendell Holmes
Poetical works,1892,N/A,Oliver Wendell Holmes
Selections from the Writings of Oliver Wendell Holmes,1889,Calendars,Oliver Wendell Holmes
Representative Opinions of Mr. Justice Holmes,1971,Judicial opinions,Oliver Wendell Holmes (Jr.)
The Poetical Works of Oliver Wendell Holmes in Three Volumes,1891,N/A,Oliver Wendell Holmes
Holmes-Sheehan Correspondence,1976,Biography & Autobiography,Oliver Wendell Holmes (Jr.)| Patrick Augustine Sheehan
Extraordinary Cases of Sherlock Holmes,1995-06-01,Juvenile Fiction,Arthur Conan Doyle, Sir
HRH,2020-11-17,Biography & Autobiography,Elizabeth Holmes
Enola Holmes: The Case of the Missing Marquess,2007-11-08,Juvenile Fiction,Nancy Springer
365 Science of Mind,2007-12-27,Philosophy,Ernest Holmes
The Complete Harvard Classics - ALL 71 Volumes,2019-07-26,Literary Collections,Benjamin Franklin| John Woolman| William Penn| Plato| Epictetus| Marcus Aurelius| Francis Bacon| John Milton| Thomas Browne| Ralph Waldo Emerson| Robert Burns| Saint Augustine| Thomas à Kempis| Aeschylus| Sophocles| Euripides| Aristophanes| Marcus Tullius Cicero| Pliny the Younger| Adam Smith| Charles Darwin| Plutarch| Virgil| Miguel de Cervantes| John Bunyan| Izaak Walton| Aesop| Wilhelm Grimm| Jacob Grimm| Hans Christian Andersen| John Dryden| Richard Brinsley Sheridan| David Garrick| Oliver Goldsmith| Percy Bysshe Shelley| Robert Browning| George Gordon Byron| Johann Wolfgang von Goethe| Christopher Marlowe| Dante Alighieri| Alessandro Manzoni| Homer| Richard Henry Dana| Edmund Burke| John Stuart Mill| Thomas Carlyle| Pedro Calderón de la Barca| Pierre Corneille| Jean Racine| Molière| Gotthold Ephraim Lessing| Friedrich von Schiller| Philip Sidney| Ben Jonson| Abraham Cowley| Joseph Addison| Richard Steele| Jonathan Swift| Daniel Defoe| Samuel Johnson| Sydney Smith| Samuel Taylor Coleridge| William Hazlitt| Leigh Hunt| Charles Lamb| Thomas De Quincey| Thomas Babington Macaulay| William Makepeace Thackeray| John Ruskin| Robert Louis Stevenson| Edgar Alan Poe| Henry David Thoreau| James Russell Lowell| Michael Faraday| Hermann Ludwig Ferdinand von Helmholtz| Simon Newcomb| Archibald Geikie| Benvenuto Cellini| Michel de Montaigne| Charles Augustin Sainte-Beuve| Ernest Renan| Immanuel Kant| Giuseppe Mazzini| Herodotus| Tacitus| Francis Drake| Philip Nichols| Francis Pretty| Walter Bigges| Edward Haies| Walter Raleigh| René Descartes| Voltaire| Jean Jacques Rousseau| Thomas Hobbes| Jean Froissart| Thomas Malory| William Henry Harrison| Niccolo Machiavelli| William Roper| Thomas More| Martin Luther| John Locke| George Berkeley| Hippocrates| Ambroise Paré| William Harvey| Oliver Wendell Holmes| Joseph Lister| Louis Pasteur| William Shakespeare| Thomas Dekker| Francis Beaumont| John Fletcher| John Webster| Philip Massinger| Blaise Pascal| Charles W. Eliot| William A. Neilson| Henry Fielding| Laurence Sterne| Jane Austen| Walter Scott| Charles Dickens| George Eliot| Nathaniel Hawthorne| Washington Irving| Bret Harte| Mark Twain| Edward Everett Hale| Henry James| Victor Hugo| Honoré Balzac| George Sand| Alfred de Musset| Alphonse Daudet| Gottfried Keller| Guy de Maupassant| Theodor Storm| Theodor Fontane| Leo Tolstoy| Fyodor Dostoevsky| Ivan Turgenev| Juan Valera| Bjørnstjerne Bjørnson| Alexander L. Kielland
Mycroft Holmes,2015-09-25,Fiction,Kareem Abdul-Jabbar| Anna Waterhouse
The Adventures of Sherlock Holmes,2020-05-31,N/A,A. B. Press| Arthur Conan Doyle
Holmes Leaflets,1905,N/A,Oliver Wendell Holmes
The Poetical Works of Oliver Wendell Holmes,2016-01-16,N/A,Oliver Wendell Holmes
The Fundamental Holmes,2010,Freedom of expression,Oliver Wendell Holmes (Jr.)
Holmes of Kyoto: Volume 5,2021-05-27,Young Adult Fiction,Mai Mochizuki
The Final Adventures of Sherlock Holmes,2014-02-06,Fiction,Arthur Conan Doyle| Peter Haining
Hutchinson's Washington and Georgetown Directory,1892,Alexandria (Va.),N/A
The Sherlock Holmes Childrens Collection,2021-07,N/A,Arthur Conan Doyle
The Ultimate Sales Machine,2007-06-21,Business & Economics,Chet Holmes
The Idea of a Christian College,1987-03-06,Education,Arthur F. Holmes
The poetical works of Oliver Wendell Holmes. 1893,1891,N/A,Oliver Wendell Holmes
Boyd's Directory of the District of Columbia,1908,Washington (D.C.),N/A
The Poetical Works of Oliver Wendell Holmes,1906,N/A,Oliver Wendell Holmes
The Book of Jezebel,2013-10-22,Social Science,Anna Holmes
One Hundred Days in Europe,2014-03-30,N/A,Oliver Wendell Holmes, Sr.
221 B,1969,Detective and mystery stories, English,Vincent Starrett
Enemy Tribe,2021-04-29,N/A,Lori Holmes
Classic Sherlock Holmes,2010-01-18,Literary Collections,Arthur Conan Doyle
The Poetical Works of Oliver Wendall Holmes,2016-05-24,N/A,Oliver Wendell Holmes
The Poetical Works of Oliver Wendell Holmes,2016-05-02,N/A,Oliver Wendell Holmes
The Poetical Works of Oliver Wendell Holmes in Three Volumes, Volume 1,2016-05-18,N/A,Oliver Wendell Holmes
The Poems of Oliver Wendell Holmes,2015-11-20,N/A,Oliver Wendell Holmes
Holmes-Pollock Letters,1941,Judges,Oliver Wendell Holmes (Jr.)| Frederick Pollock
The Works of Oliver Wendell Holmes: pt. 1-2. Life and letters of Oliver Wendell Holmes,1892,N/A,Oliver Wendell Holmes
Holmes of Kyoto: Volume 4,2021-03-31,Young Adult Fiction,Mai Mochizuki
The American Catalogue,1905,American literature,N/A
Sherlock Holmes of Baker Street,1962,Detective and mystery stories, English,William Stuart Baring-Gould
Index to the Reports and Collections of the Michigan Pioneer and Historical Society,1907,Historical collections (Michigan Pioneer and Historical Society),N/A
The Speckled Band,2019-04-25,N/A,Sir Arthur Conan Doyle
The Early Poems of Oliver Wendell Holmes,1903,N/A,Oliver Wendell Holmes
Mycroft and Sherlock,2018-10-09,Fiction,Kareem Abdul-Jabbar| Anna Waterhouse
The Age of Wonder,2009-07-14,Science,Richard Holmes
Holmes from John of England and Plymouth, Massachusetts,1995*,N/A,Marguerite Holmes
Dreaming Spies,2015-10-06,Fiction,Laurie R. King
The Poetical Works of Oliver Wendell Holmes - Volume VII,2015-04-29,N/A,Oliver Wendell Holmes
The Private Life of Sherlock Holmes,2008-01-01,Detective and mystery stories, English,Vincent Starrett
The Early Poems of Oliver Wendell Holmes,2016-05-24,N/A,Oliver Wendell Holmes
Annual Report of the Permanent Committee for the Oliver Wendell Holmes Devise for the Year,1959,N/A,Permanent Committee for the Oliver Wendell Holmes Devise
A Study in Charlotte,2016-03-01,Young Adult Fiction,Brittany Cavallaro
Enola Holmes and the Black Barouche,2021-08-31,Young Adult Fiction,Nancy Springer
Warlock Holmes - A Study in Brimstone,2016-05-17,Fiction,G.S. Denning
The Hound of the Baskervilles,2022,Blessing and cursing,Arthur Conan Doyle
The Artist Himself,2010-03-03,Biography & Autobiography,Patrick Rosenkranz
The World of Sherlock Holmes,2018-07-12,Fiction,Martin Fido
Stories of Sherlock Holmes,1904,N/A,Arthur Conan Doyle
The Poetical Works of Oliver Wendell Holmes - Volume II,2015-04-29,N/A,Oliver Wendell Holmes
Publishers' circular and booksellers' record,1870,N/A,N/A
Sherlock Holmes: His Last Bow (Sherlock Complete Set 8),2011-08-04,Fiction,Arthur Conan Doyle
Publication Fund Series,1898,Local history,N/A
The Psychiatric Novels of Oliver Wendell Holmes,1946,Mental illness,Oliver Wendell Holmes| Clarence Paul Oberndorf
Oliver Wendell Holmes' Medical Essays,2013-11-08,N/A,Oliver Wendell Holmes
Behind the Times,2014-05-02,Fiction,Arthur Conan Doyle, Sir
A Study in Scarlet, and, the Sign of the Four,1904,Detective and mystery stories, English,Arthur Conan Doyle
Great Stories for Children,2011-11,Children's stories, Indic (English),Ruskin Bond
Enola Holmes: The Case of the Left-Handed Lady,2008-05-15,Juvenile Fiction,Nancy Springer
H. H. Holmes,2019-04-02,True Crime,Adam Selzer
Creative Mind and Success,2012-03-09,Self-Help,Ernest Holmes
Holmes-Laski Letters,1953,Judges,Oliver Wendell Holmes (Jr.)
Why You're Still Single,2006-05-30,Family & Relationships,Evan Marc Katz| Linda Holmes
Controversy Between the First Parish in Cambridge and the Rev. Dr. Holmes, Their Late Pastor,1829,Cambridge (Mass.),First Parish (Cambridge, Mass.)
The New Annotated Sherlock Holmes: The Complete Short Stories: The Return of Sherlock Holmes, His Last Bow and The Case-Book of Sherlock Holmes (Non-Slipcased Edition) (Vol. 2) (The Annotated Books),2007-11-05,Fiction,Arthur Conan Doyle
James and Ann Emerson Holmes,2007,N/A,Ruth Iseminger
Asylum for Sale,2020-11-01,Social Science,Siobhán McGuirk| Adrienne Pine
Burton Holmes Travelogues,2023-07-18,N/A,Burton Holmes
Kubla Khan,2015-12-15,Poetry,Samuel Coleridge
The Dissenting Opinions of Mr. Justice Holmes,1929,Constitutional law,Oliver Wendell Holmes (Jr.)
The Last of August,2017-02-14,Young Adult Fiction,Brittany Cavallaro
The Case of the Cryptic Crinoline,2009,Juvenile Fiction,Nancy Springer
The Millionaire Maker,2006-01-21,Business & Economics,Loral Langemeier
Sherlock Holmes,2006,Literary Criticism,H. R. F. Keating
The New York of Yesterday,1908,Bloomingdale (N.Y.).,Hopper Striker Mott
Daddy's Stepstalker,2022-01-18,N/A,Gianni Holmes
Meeks,2010-09-07,Fiction,Julia Holmes
Sherlock Holmes Detected,1974,Literary Criticism,Ian McQueen
Holmes' Appleman on Insurance,1996,N/A,N/A
The Fae Wars,2021-04-12,N/A,Lucas Marcum| J F Holmes
Holmes Papers,N/A,College students,Sarah Arny Holmes
Sherlock Holmes: Ten Literary Studies,1969,Literary Criticism,Trevor H. Hall
Publisher and Bookseller,1873,Bibliography,N/A
Henry M. Holmes,1882,Church buildings,Henry M. Holmes
Ohio Citations ...,1886,Annotations and citations (Law),A W. Lincoln| A. W. Lincoln
Geology of Holmes County,1949,Geology,George Willard White
Wymer v. Holmes; Yahrling v. Belle Lake Association, Inc., 429 MICH 66 (1987),1987,N/A,N/A
The Philosophy and Literary Theories of Oliver Wendell Holmes,1932,N/A,Vernon Rosco Carstensen
Henry M. Holmes,1882,Church buildings,Henry M. Holmes
Geology of Holmes County,1949,Geology,George Willard White
Wymer v. Holmes; Yahrling v. Belle Lake Association, Inc., 429 MICH 66 (1987),1987,N/A,N/A
The Philosophy and Literary Theories of Oliver Wendell Holmes,1932,N/A,Vernon Rosco Carstensen
Holmes v. J.W. Wells Lumber Co., 274 MICH 166 (1936),1936,N/A,N/A
Annual Report of the Board of Managers of the New York Produce Exchange ...,1889,N/A,New York Produce Exchange
The Common Law,1923,Common law,Oliver Wendell Holmes (Jr.)
The Hottentot Venus,2016-05-19,Biography & Autobiography,Rachel Holmes
Toughing It,2014-12-30,Young Adult Fiction,Nancy Springer
William Holmes McGuffey and the Peerless Pioneer McGuffey Readers,1928,Educators,Harvey C. Minnich
Flash Fiction Forward,2006,Fiction,James Thomas| Robert Shapard
Holmes v. Gargaro Company, 368 MICH 589 (1962),1962,N/A,N/A
Reno v. Holmes, 238 MICH 572 (1927),1927,N/A,N/A
The Christian World,1870,Missions,N/A
Rolls of Connecticut Men in the French and Indian War, 1755-1762,1905,Connecticut,Connecticut Historical Society
Bad Blood,2018-05-31,True Crime,John Carreyrou
The Ghost and the Mystery Writer,2018-01-20,Fiction,Bobbi Holmes
Oliver Wendell Holmes,1909,N/A,Samuel McChord Crothers
Nonsense,2016-10-11,Psychology,Jamie Holmes
Conan Doyle for the Defense,2019-06-25,Law,Margalit Fox
Sherlock Holmes: Classic Stories,2019-06,N/A,Arthur Conan Doyle
My Own World,2021-06-22,Juvenile Fiction,Mike Holmes
